iter	Passed	Remaining
0	1	176
1	3	189
2	5	179
3	7	169
4	8	160
5	10	156
6	11	154
7	13	150
8	15	154
9	16	151
10	18	152
11	20	152
12	22	148
13	23	143
14	24	139
15	25	136
16	29	142
17	30	139
18	32	138
19	33	135
20	35	132
21	36	128
22	37	125
23	38	122
24	41	123
25	43	123
26	45	122
27	47	121
28	49	120
29	51	119
30	53	118
31	56	120
32	58	119
33	60	117
34	62	115
35	63	113
36	66	112
37	70	114
38	73	114
39	75	113
40	77	111
41	79	110
42	82	108
43	83	106
44	85	104
45	87	103
46	89	101
47	91	99
48	92	96
49	95	95
50	96	93
51	98	90
52	100	88
53	102	87
54	103	85
55	106	83
56	109	82
57	115	83
58	117	81
59	119	79
60	121	77
61	124	76
62	126	74
63	128	72
64	130	70
65	132	68
66	133	65
67	135	63
68	140	63
69	142	60
70	144	58
71	145	56
72	147	54
73	149	52
74	151	50
75	153	48
76	155	46
77	156	44
78	157	41
79	159	39
80	161	37
81	162	35
82	164	33
83	166	31
84	168	29
85	170	27
86	171	25
87	173	23
88	174	21
89	176	19
90	178	17
91	180	15
92	182	13
93	183	11
94	185	9
95	187	7
96	188	5
97	190	3
98	192	1
99	193	0
